"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/refs_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/refs.csv?datainfo&rowcount&base_name=brachiopoda&select=taxonomy"
"Access Time","Tue 2017-11-07 07:33:38 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","brachiopoda"
"","ref_type","taxonomy"
"","taxon_status","all"
"Elapsed Time","1.46"
"Records Found","1982"
"Records Returned","1982"
"Records:"
"reference_no","record_type","ref_type","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","language","doi"
"48748","ref","class","J. M.","Dickins","V. A.","Goslin","B. Runnegar","1969","The age of the Permian sequence in the southern part of the Sydney Basin","Stratigraphy and Palaeontology. Essays in honour of Dorothy Hill","","","","211","225","book chapter","English",""
"27472","ref","auth,class","C.","Diener","","","","1897","The Permocarboniferous fauna of Chitichun No. 1","Palaeontologia Indica, Series 15","","1","3","1","105","serial monograph","English",""
"27602","ref","auth","C.","Diener","","","","1897","The Permian fossils of the Productus Shales of Kumaon and Gurhwal","Palaeontologia Indica, Series 15","","1","3","1","54","serial monograph","English",""
"27603","ref","auth","C.","Diener","","","","1899","Anthracolithic fossils of Kashmir and Spiti","Palaeontologia Indica, Series 15","","1","2","1","95","serial monograph","English",""
"52287","ref","auth,class","I.","Dieni","F.","Massari","V. Radulovic","2013","The Mt Perda Liana section (Middle Jurassic, central-eastern Sardinia): revised stratigraphy and brachiopod faunas","Bollettino della Società Paleontologica Italiana","","52","2","123","138","journal article","English",""
"32403","ref","auth,class","M.","Dixon","D. W.","Haig","","2004","Foraminifera and their habitats within a cool-water carbonate succession following glaciation, Early Permian (Sakmarian), Western Australia","Journal of Foraminiferal Research","","34","","308","324","journal article","English",""
"55499","ref","auth,class","R. A.","Doescher","","","","1981","Living and fossil brachiopod genera 1775-1979. Lists and bibliography","Smithsonian Contributions to Paleobiology","","42","","1","238","serial monograph","English",""
"36012","ref","auth,class","H.","Douvillé","","","","1916","Les terrains secondaires dans le massif du Moghara à l’Est de l’isthme de Suez","Mémoire de l’Académie des Sciences, Paris","","54","2","1","184","serial monograph","French",""
"48792","ref","auth,class","A. B.","Doweld","","","","2013","Alairhynchus, a new name for the genus Gigantorhynchus Sapelnikov & Malygina 1977 (Brachiopoda: Camarotoechioidea) preoccupied by Gigantorhynchus Hamann 1892 (Vermes: Acanthocephala)","Zootaxa","","3734","4","497","498","journal article","English","http://dx.doi.org/10.11646/zootaxa.3734.4.8"
"29180","ref","auth,class","C.","Duan","","","","1984","Small shelly fossils from the Lower Cambrian Xihaoping Formation the Shennongjia district, Hubei Province - hyoliths and fossil skeletons of unknown affinities","Bulletin of the Tianjin Institute of Geology and Mineral Resources","","7","","141","188","journal article","Chinese",""
"34088","ref","auth,class","G.","Dubar","","","","1967","Brachiopodes Jurassiques du Sahara Tunisien [Jurassic brachiopods from the Tunisian Sahara]","Annales de Paleontologie, Invertebres","","53","","1","71","journal article","French",""
"41230","ref","auth,class","A.","Dulai","","","","1992","The early Sinemurian(Jurassic) brachiopod fauna of the Lókút Hill (Bakony Mts, Hungary)","Fragmenta Mineralogica et Palaeontologica","","15","","41","94","journal article","English",""
"43478","ref","auth,class","A.","Dulai","","","","1993","Hettangian (Early Jurassic) brachiopod fauna of the Bakony Mts. (Hungary)","Fragmenta Mineralogica et Palaeontologia","","16","","27","50","journal article","English",""
"52303","ref","auth,class","A.","Dulai","","","","2003","Hettangian and Early Sinemurian (Early Jurassic)brachiopods of the Transdanubian Central Range(Hungary) II.(A Dunántúli­középhegység hettangi és kora szinemuri (kora­jura) brachiopoda faunája II)","A Bakony Termeszettudomanyi Kutatasanak Eredmenyei","","27","","5","124","serial monograph","other",""
"62636","ref","auth,class","A.","Dulai","","","","2010","Early Messinian (Late Miocene) micromorphic brachiopods from Borelli (Italy, Piemonte)","Fragmenta Palaeontologica Hungarica","","28","","21","31","journal article","English",""
"62991","ref","auth,class","A.","Dulai","","","","2016","Sporadic Pliocene and Pleistocene brachiopods in Naturalis Biodiversity Center (Leiden, the Netherlands): records from the Mediterranean, and the North Sea Basin","Fragmenta Palaeontologica Hungarica","","33","","65","98","journal article","English",""
"49674","ref","auth,class","A.","Dulai","M. A.","Bitner","P. Muller","2008","A monospecific assemblage of a new rhynchonellide brachiopod from the Paleocene of Austria","Fossils and Strata","","54","","193","201","journal article","English",""
"27481","ref","auth,class","C. O.","Dunbar","","","","1955","Permian brachiopod faunas of central east Greenland","Meddelelser om Grønland","","110","3","1","169","serial monograph","English",""
"18082","ref","auth,class","C. O.","Dunbar","G. E.","Condra","","1932","Brachiopoda of the Pennsylvanian System in Nebraska","Geological Survey of Nebraska Bulletin, Second Series","","5","","1","377","serial monograph","English",""
"54244","ref","auth,class","A.","Dürkoop","","","","1970","Brachiopoden aus dem Silur, Devon und Karbon in Afghanistan mit einer Stratigraphie des Paläozoikum der Dascht-e-Nawar/Ost und von Rukh","Palaeontographica A","","134","","153","225","journal article","English",""
"32099","ref","auth,class","J. T.","Dutro","","","","1981","Devonian Brachiopod Biostratigraphy of New York State","International Union of Geological Sciences Subcommission on Devonian Stratigraphy, Devonian Biostratigraphy of New York, Part 1, Text, edited by William Oliver and Gilbert Klapper","","","","67","82","guidebook","English",""
"348","ref","auth,class","W. H.","Easton","","","","1962","Carboniferous formations and faunas of central Montana","United States Geological Survey Professional Paper","","348","","1","126","","",""
"346","ref","auth,class","W. H.","Easton","J. E.","Sanders","J. B. Knight, A. K. Miller","1958","Mississippian fauna in northwestern Sonora, Mexico","Smithsonian Miscellaneous Collections","","119","3","1","87","","",""
"26081","ref","class","B.Y.","Eckert","C. E.","Brett","","1989","Bathymetry and paleoecology of Silurian benthic assemblages, late Llandoverian, New York State","Palaeogeography, Palaeoclimatology, Palaeoecology","","74","","297","326","journal article","English",""
"18022","ref","auth","E.","Egerquist","","","","2003","New brachiopods from the Lower-Middle Ordovician (Billingen-Volkhov stages) of the East Baltic","Acta Palaeontologica Polonica","","48","1","31","38","journal article","English",""
"44734","ref","auth,class","E.","Egerquist","","","","1999","Revision of the Ordovician plectambonitoid brachiopod Ujukella Andreev and related genera","Geologiska Föreningens i Stockholm Förhandlingar","","121","4","325","332","journal article","English","10.1080/11035899901214325"
"36340","ref","auth,class","O. L.","Einor","","","","1959","Brachiopoda","Polevoi Atlas Fauny Permskikh Otlozhenii Severo-Vostoka SSSR","","","","1","85","book/book chapter","Russian",""
"841","ref","auth,class","R. L.","Ellison","","","","1965","Stratigraphy and Paleontology of the Mahantango Formation in south-central Pennsylvania","Pennsylvania Geological Survey Bulletin G48","","","","1","298","book/book chapter","",""
"30449","ref","auth,class","C. C.","Emig","","","","2008","On the history of the names Lingula, anatina, and on the confusion of the forms assigned them among the Brachiopoda","Carnets de Géologie","","2008","08","1","13","journal article","English",""
"30440","ref","auth,class","C. C.","Emig","M. A.","Bitner","","2005","The brachiopod Lingula in the Middle Miocene of the Central Paratethys","Acta Palaeontologica Polonica","","50","1","181","184","journal article","English",""
"30445","ref","auth,class","C. C.","Emig","M. A.","Bitner","","2005","Glottidia (Brachiopod: Lingulidae) from the Eocene La Meseta Formation, Seymour Island, Antarctica","Palaeontology","","48","2","423","431","journal article","English",""
"50159","ref","class","C. C.","Emig","M. A.","Bitner","F. Álvarez","2013","Phylum Brachiopoda","Zootaxa","","3793","1","75","78","journal article","English","0.11646/zootaxa.3703.1.15"
"30437","ref","auth,class","C. C.","Emig","Z.","Herrera","","2006","Dignomia munsterii (Brachiopoda, Lingulata) from the Ordovician of Bolivia, with redescription of the genus","Geodiversitas","","28","2","227","237","journal article","English",""
"33482","ref","auth,class","O. A.","Erlanger","","","","1981","A contribution to revision of the genus Rhynchopora","Paleontological Journal","","15","","63","70","journal article","English",""
"26702","ref","auth","R.","Etheridge","","","","1872","Description of the Palaeozoic and Mesozoic fossils of Queensland","Quarterly Journal of the Geological Society of London","","28","","317","360","journal article","English",""
"39465","ref","auth","R.","Etheridge Jr.","","","","1880","On a collection of fossils from the Bowen River coalfield and the limestone of the Fanning River, north Queensland","Proceedings of the Royal Physical Society of Edinburgh","","5","","263","328","journal article","English",""
"42464","ref","auth","R.","Etheridge Jr.","","","","1889","Remarks on fossils of Permo-Carboniferous age, from north-western Australia, in the Macleay Museum","Proceedings of the Linnean Society of New South Wales, Series 2","","4","","199","214","journal article","English",""
"42467","ref","auth","R.","Etheridge Jr.","","","","1903","Descriptions of Carboniferous fossils from the Gascoyne District, Western Australia, collected by Mr. A. Gibb Maitland, government geologist","Western Australia Geological Survey Bulletin","","10","","1","31","journal article","English",""
"42520","ref","auth","R.","Etheridge Jr.","","","","1907","Fossils from Mingenew, Irwin River Coalfield, Western Australia, collected by Mr. E. S. Simpson, mineralogist and assayer","Geological Survey of Western Australia Bulletin","","27","","19","25","journal article","English",""
"42548","ref","auth","R.","Etheridge Jr.","","","","1907","Official contributions to the palaeontology of South Australia, No. 17 - Permo-Carboniferous fossils of Cape Ford, Anson Bay, and Cape Dombey, Hyland Bay","South Australian Parliamentary Paper","","55","Suppl","5","6","journal article","English",""
"42549","ref","auth","R.","Etheridge Jr.","","","","1907","Official contributions to the palaeontology of South Australia, No. 18 - Carboniferous fossils from Fossil Head, Treachery Bay, Victoria River estuary","South Australian Parliamentary Paper","","55","Suppl","6","11","journal article","English",""
"42916","ref","auth","R.","Etheridge Jr.","","","","1919","Palaeontologia Novae Cambriae Meridionalis - occasional descriptions of New South Wales fossils - No. 7","Records of the Australian Museum","","12","9","183","192","journal article","English",""
"42594","ref","auth,class","R.","Etheridge Jr.","W. S.","Dun","","1909","Notes on the Permo-Carboniferous Producti of eastern Australia, with synonymy","Records of the Geological Survey of New South Wales","","8","","293","304","journal article","English",""
"11426","ref","auth,class","N.","Fantini Sestini","","","","1965","The geology of the upper Djadjerud and Lar valleys (North-Iran). II. Palaeontology: Bryozoans, brachiopods, and molluscs from Ruteh Limestone (Permian)","Rivista Italiana di Paleontologie e Stratigrafia","","71","1","13","108","journal article","",""
"27319","ref","auth","N.","Fantini Sestini","","","","1964","Diagnosi di forme nuove. Neochonetes asseretoi sp. n.","Rivista Italiana di Paleontologia e Stratigrafia","","70","4","899","","journal article","Italian",""
"30153","ref","auth,class","N.","Fantini Sestini","","","","1966","The geology of the Upper Djadjerud and Lar Valleys (North Iran) II; Palaeontology: brachiopods from Geirud Formation, Member D (Lower Permian)","Rivista Italiana di Paleontologia e Stratigrafia","","72","1","9","50","journal article","English",""
"38421","ref","auth,class","N.","Fantini Sestini","","","","1965","Permian fossils of the Shaksgam Valley","Italian Expeditions to the Karakorum (K2) and Hindu Kush. IV - Paleontology-Zoology-Botany","","","","149","218","book/book chapter","English",""
"11297","ref","auth,class","N.","Fantini Sestini","M.","Glaus","","1966","Brachiopods from the Upper Permian Nesen Formation (North Iran)","Rivista Italiana di Paleontologia e Stratigrafia","","72","4","887","930","journal article","",""
"49677","ref","auth,class","G. E.","Farrow","E. F.","Owen","","1980","Shallow-water Cretaceous Brachiopods from Rockall Bank, North Atlantic","Palaeontology","","25","2","463","470","journal article","English",""
"28242","ref","auth","P.","Faure","Y.","Almeras","N. Sekatni, F. Zargouni","2007","Le Pliensbachien de Jebel Zaghouan (Tunisie). Nouvelles données fauniques. Implications biostratigraphiques et paléobiogéographiques","Geodiversitas","","29","4","473","506","journal article","French",""
"55260","ref","auth,class","P.","Fauré","Y.","Alméras","N. Sekatni, M. S. Arfaoui, F. Zargouni","2015","Les brachiopodes du Jurassique inférieur et moyen en Tunisie centrale (Axe Nord-Sud). Un nouveau témoin du domaine paléobiogéographique ouest-téthysien","Geodiversitas","","37","","31","57","journal article","French",""
"11164","ref","auth,class","H. R.","Feldman","","","","2002","A new species of Coenothyris (Brachiopoda) from the Triassic (Upper Anisian-Ladinian) of Israel","Journal of Paleontology","","76","1","34","42","journal article","English",""
"34436","ref","auth,class","H. R.","Feldman","","","","1987","A new species of the Jurassic (Callovian) brachiopod Septirhynchia from northern Sinai","Journal of Paleontology","","61","6","1156","1172","journal article","English",""
"50275","ref","auth,class","H. R.","Feldman","","","","2013","Menathyris wilsoni (Brachiopoda), new genus and species from the Middle Triassic (Ladinian) of southern Israel","Annales Societatis Geologorum Poloniae","","83","","81","85","journal article","English",""
"55505","ref","class","H. R.","Feldman","","","","1985","Brachiopods of the Onondaga Limestone in central and southeastern New York","Bulletin of the American Museum of Natural History","","112","3","293","377","journal article","English",""
"62733","ref","auth,class","H. R.","Feldman","","","","2017","Tunethyris blodgetti sp. nov. (Brachiopoda, Terebratulida) from the Middle Triassic of Makhtesh Ramon, southern Israel","Annales Societatis Geologorum Poloniae","","87","","89","99","journal article","English",""
"17168","ref","auth,class","H. R.","Feldman","E. F.","Owen","F. Hirsch","2001","Brachiopods from the Jurassic (Callovian) of Hamakhtesh Hagadol (Kurnub Anticline), southern Israel","Palaeontology","","44","4","637","658","journal article","English",""
"34046","ref","auth,class","H. R.","Feldman","E. F.","Owen","","1988","Goliathyris lewyi, new species (Brachiopoda, Terebratulacea) from the Jurassic of Gebel El-Minshera, northern Sinai","American Museum Novitates","","2908","","1","12","journal article","English",""
"34047","ref","auth,class","H. R.","Feldman","E. F.","Owen","F. Hirsch","1991","Brachiopods from the Jurassic of Gebel El-Maghara, northern Sinai","American Museum Novitates","","3006","","1","28","journal article","English",""
"52677","ref","auth,class","H. R.","Feldman","V. J.","Radulovi","A. A. A. Hegab, B. V. Radulovi","2014","Sinaithyris, a new name for the Middle Jurassic terebratulid brachiopod Cooperithyris Feldman, Radulovi, Hegab, and Radulovi, 2012 preoccupied by Cooperithyris Tchorszevsky, 1988","Journal of Paleontology","","88","","1094","","journal article","English",""
"51836","ref","auth,class","H. R.","Feldman","V. J.","Radulovic","A. A. A. Hegab, B. V. Radulovic","2012","Taxonomy and paleobiogeography of late Bathonian brachiopods from Gebel Engabashi, northern Sinai","Journal of Paleontology","","86","2","238","252","journal article","English",""
"49726","ref","auth,class","H. R.","Feldman","M.","Schemm-Gregory","F. Ahmad, M. A. Wilson","2012","Jurassic rhynchonellide brachiopods from the Jordan Valley","Acta Palaeontologica Polonica","","57","1","191","204","journal article","English",""
"50730","ref","auth,class","H. R.","Feldman","M.","Schemm-Gregory","F. Ahmad, M. A. Wilson","2014","A Jurassic (Bathonian-Callovian) Daghanirhynchia brachiopod fauna from Jordan","Geologica Acta","","12","","1","18","journal article","English",""
"54546","ref","auth,class","H. R.","Feldman","M.","Schemm-Gregory","M. A. Wilson, F. Ahmad","2015","Talexirhynchia, a new rhynchonellid genus from the Jurassic Ethiopian Province of Jordan","Palaeontologische Zeitschrift","","89","","25","35","journal article","English",""
"32417","ref","auth,class","R. L.","Feng","","","","1978","Brachiopod names","Paleontological Atlas of Southwest China, Guizhou Volume","","2","","231","305","book/book chapter","Chinese",""
"43206","ref","auth,class","R. L.","Feng","","","","1986","Brachiopod names, in The Brachiopods and the boundary of Late Carboniferous-Early Permian in Longlin region, Guangxi","Bulletin of the Yichang Institute of Geology and Mineral Resources","","11","","233","236","journal article","Chinese",""
"32416","ref","auth,class","R. L.","Feng","Z. L.","Jiang","","1978","Brachiopoda","Paleontological Atlas of Southwest China, Guizhou Volume","","2","","231","305","book/book chapter","Chinese",""
"62260","ref","auth","C. L.","Fenton","","","","1929","Strophomena filitexta Hall, A Valid Species","The American Midland Naturalist","","11","9","500","503","journal article","English","10.2307/2419919"
"15182","ref","auth,class","C. L.","Fenton","M. A.","Fenton","","1924","The stratigraphy and fauna of the Hackberry stage of the Upper Devonian","Contributions from the Museum of Geology, the University of Michigan","","1","1","1","260","journal article","English",""
"46904","ref","auth","C. L.","Fenton","M. A.","Fenton","","1928","new species of Schizophoria from the Devonian of Iowa","American Midland Naturalist","","11","","160","162","journal article","English",""
"52485","ref","auth,class","A.","Ferrari","C.","Manara","","1972","Brachiopodi Del Dogger Inferiore Di Monte Peller - Trentino [Brachiopods of the Lower Dogger from Monte Peller - Trentino]","Giornale Di Geologia","","38","1","253","333","journal article","Italian",""
"52980","ref","auth,class","E.","Feruglio","","","","1936","Palaeontographia Patagonica. Parte I","Memorie dell'Istituto Geologico della Reale Universitá di Padova","","11","","1","192","journal article","Italian",""
"15612","ref","class","R. M.","Finks","R. E. H.","Reid","J. K. Rigby","2004","Porifera (Demospongea, Hexactinellida, Heteractinida, Calcarea)","Treatise on Invertebrate Paleontology Part E, Revised","","E","3","1","872","serial monograph","English",""
"20827","ref","auth","G.","Fischer de Waldheim","","","","1830","","Oryctographie du Gouvernement de Moscow","","","","1","202","book/book chapter","Russian",""
"25943","ref","auth,class","D. W.","Fisher","","","","1957","Lithology, Paleoecology and Paleontology of the Vernon Shale (Late Silurian) in the Type Area","New York State Museum and Science Service Bulletin","","364","","1","31","serial monograph","English",""
"15666","ref","auth","C. L.","Fleming","","","","1828","","A history of British animals, exhibiting the descriptive characters and systematical arrangement of the genera and species of quadrpeds, birds, reptiles, fishes, Mollusca, and Radiata of the United Kingdom; including the indigenous, extirpated, and extinct kinds, together with periodical and occassional visitants","","","","","","book/book chapter","English",""
"35945","ref","auth","H. O.","Fletcher","","","","1945","A new Aulosteges from the Lower Permian of Queensland","Records of the Australian Museum","","21","6","313","316","journal article","English",""
"26655","ref","auth","H.O.","Fletcher","D.","Hill","R.W. Willett","1952","Permian fossils from Southland","New Zealand Geological Survey Paleontology Bulletin","","19","","1","31","serial monograph","English",""
"36869","ref","auth,class","G.","Fliegel","","","","1901","Uber obercarbonische Faunen aus Ost-und Sud-asien","Palaeontographica","","48","","91","136","journal article","English",""
"11615","ref","auth,class","A. F.","Foerste","","","","1924","Upper Ordovician faunas of Ontario and Quebec","Geological Survey of Canada Memoir","","138","121","1","99","serial monograph","",""
"53282","ref","auth","A. F.","Foerste","","","","1909","Preliminary Notes on Cincinnatian Fossils","Bulletin of the Scientific Laboratories of Denison University","","14","4","289","334","journal article","English",""
"53386","ref","auth,class","A. F.","Foerste","","","","1917","The Richmondian faunas of Little Bay de Noquette, in northern Michigan","Ottawa Naturalist","","31","","93–103","121–127","journal article","English",""
"15910","ref","auth","A. F.","Foerste","","","","1887","The Clinton group of Ohio","Bulletin of the Scientific Laboratories of Denison University","","1","","62","120","journal article","English",""
"15913","ref","auth,class","A. F.","Foerste","","","","1910","Preliminary notes on Cincinnatian and Lexington fossils of Ohio, Indiana, Kentucky, and Tennessee","Bulletin of the Scientific Laboratories of Denison University","","16","1","17","100","journal article","English",""
"15914","ref","auth,class","A. F.","Foerste","","","","1912","Strophomena and other fossils from Cincinnatian and Mohawkian horizons, chiefly in Ohio, Indiana, Kentucky","Bulletin of the Scientific Laboratories of Denison University","","17","1","17","174","journal article","English",""
"15920","ref","auth,class","A. F.","Foerste","","","","1920","The Kimmswick and Plattin Limestones of Northeastern Missouri","Bulletin of the Scientific Laboratories of Denison University","","19","","175","226","journal article","English",""
"20835","ref","auth,class","A. F.","Foerste","","","","1909","Fossils from the Silurian Formations of Tennessee, Indiana and Kentucky","Bulletin of the Scientific Laboratories of Denison University","","14","6","61","107","journal article","English",""
"62648","ref","auth,class","C. C. K.","Fong","","","","1989","Brachiopods from the Hengchun Peninsula: II. Brachiopods from the Maanshan mudstone and the Szekou Formation","Bulletin of the Central Geological Survey","","5","","101","111","journal article","English",""
"27679","ref","auth,class","H.","Fontaine","","","","1990","Some Devonian corals and stromatoporoids from northeast Thailand","Geologisches Jahrbuch B","","73","","57","79","journal article","English",""
"42461","ref","auth","A. H.","Foord","","","","1890","Notes on the palaeontology of Western Australia, continued","Geological Magazine, New Series, Decade III","","7","","145","155","journal article","English",""
"20849","ref","auth","A. H.","Foord","","","","1890","Notes on the palaeontology of Western Australia","Geological Magazine, New Series, Decade III","","7","","98","106","journal article","English",""
"54270","ref","auth,class","E.","Forbes","","","","1846","Report on the fossil invertebrata from southern India, collected by Mr. Kaye and Mr. Cunliffe","Transactions of the Geological Society of London, Series 2","","7","","97","174","journal article","English",""
"60793","ref","class","W. J.","Foster","S.","Danise","R. J. Twitchett","2017","A silicified Early Triassic marine assemblage from Svalbard","Journal of Systematic Palaeontology","","15","","851","877","journal article","English","10.1080/14772019.2016.1245680"
"51325","ref","auth,class","H.","Frebold","","","","1942","Über die Productiden des Brachiopodenkalkes und der Mallemukformation des nördlichen Ostgrönland und die altersfrage einiger Jung-Paläozoischer Bildungen der Arktis","Skrifter om Svalbard og Ishavet","","84","","1","68","serial monograph","German",""
"38574","ref","auth","F.","Frech","","","","1901","Die Dyas","Lethaea Geognostica oder Beschreibung und Abbildung der für die Gebirgs-Formationen bezeichnendsten Versteinerungen. I. Theil. Lethaea Palaeozoica","","2","3","453","578","journal article","German",""
"44368","ref","auth,class","F.","Frech","","","","1911","Die Dyas","China: Ergebnisse Eigener Reisen und Darauf Gegründeter Studien","F. von Richthofen","5","","103","137","book/book chapter","German",""
"44375","ref","auth","F.","Frech","","","","1911","Untere Neodyas (früher Carbon) von Tshau-Tiën (im Ta-Pa-Shan-Profil), Provinz Sz'-Tshwan","China: Ergebnisse Eigener Reisen und Darauf Gegründeter Studien","F. von Richthofen","5","","138","148","book/book chapter","German",""
"44758","ref","auth,class","F.","Frech","","","","1911","Die Dyas in Süd-Yünnan, Tongking, Laos und Burmah","China: Ergebnisse Eigener Reisen und Darauf Gegründeter Studien","F. von Richthofen","5","","149","161","book chapter","German",""
"44776","ref","auth,class","F.","Frech","","","","1911","Zerstreute Dyasvorkommen in Mittel- und Südchina: Nanking, Yerkalo, Tshung-Tien USW","China: Ergebnisse Eigener Reisen und Darauf Gegründeter Studien","F. von Richthofen","5","","162","177","book chapter","German",""
"28135","ref","auth,class","S. H.","Frost","R. L.","Langenheim, Jr.","","1966","Paleontology of the Stringocephalus biostrome, Piute Formation (Middle Devonian), Arrow Canyon Range, Clark County, Nevada","Journal of Paleontology","","40","4","911","930","journal article","English",""
"13731","ref","auth","F. T.","Fürsich","R.","Berndt","T. Scheuer, M. Gahr","2001","Comparative ecological analysis of Toarcian (Lower Jurassic) benthic faunas from southern France and east-central Spain","Lethaia","","34","","169","199","journal article","English",""
"36160","ref","auth,class","W. M.","Gabb","","","","1877","Description of a collection of fossils made by Dr. Antonio Raimondi in Peru","Journal of the Academy of Natural Sciences of Philadelphia","","2","8","263","336","journal article","English",""
"46292","ref","auth","W. M.","Gabb","","","","1864","Description of the Triassic fossils of California and the adjacent territories","Geological Survey of California Palaeontology","","1","","19","35","journal article","English",""
"59402","ref","auth,class","M.","Gaetani","","","","2016","Brachiopods from the type-section of the Bithynian substage (Anisian, Middle Triassic, northwestern Turkey)","Rivista Italiana di Paleontologia e Stratigrafia","","122","","61","76","journal article","English",""
"62909","ref","auth,class","M.","Gaetani","D.","Sacca","","1984","Brachiopodi batiali nel Pliocene e Pleistocene di Silicia e Calabria","Rivista Italiana di Paleontologia e Stratigrafia","","90","","407","458","journal article","Italian",""
"62934","ref","auth,class","M.","Gaetani","D.","Sacca","","1985","Brachiopodi Neogenici e Pleistocenici della provincia di Messina e della Calabria meridionale","Geologica Romana","","22","","1","43","journal article","Italian",""
"7068","ref","auth,class","M. E.","Gahr","","","","2002","Palökologie benthischer Faunen aus dem Unter-Toarc SW-Europas","","","","","","","Ph.D. thesis","German",""
"37659","ref","auth,class","V. G.","Ganelin","","","","1977","Taxonomic names, in Pozdnepaleozoyskie produktidy Sibiri i Arktiki","Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta","","161","","1","220","journal article","Russian",""
"29690","ref","auth,class","V. G.","Ganelin","S. S.","Lazarev","","1999","Revision of the Permian thin-ribbed linoproductoids: 1. Linoproductoids of the ""Cancrinella"" koninckiana (Keyserling, 1846) group","Paleontological Journal","","33","3","243","253","journal article","English",""
"31748","ref","auth,class","V. G.","Ganelin","S. S.","Lazarev","","2000","Revision of the Permian thin-ribbed Linoproductoids. Article 2. The ""Cancrinella"" ogonerensis Zavodowsky, 1960 Group","Paleontological Journal","","34","1","40","46","journal article","English",""
"50563","ref","class","C.","Garbelli","L.","Angiolini","","2014","Systematic palaeontology, in Faunal change near the end-Permian extinction: the brachiopods of the Ali Bashi Mountains, NW Iran","Rivista Italiana di Paleontologia e Stratigrafia","","120","","27","59","journal article","English",""
"51383","ref","auth,class","C.","Garbelli","L.","Angiolini","S. Z. Shen, G. Crippa, D. X. Yuan, M. Bahrammanesh, S. Abbasi, M. Birjandi","2014","Additional brachiopod findings from the Lopingian succession of the Ali Bashi Mountains, NW Iran","Rivista Italiana di Paleontologia e Stratigrafia","","120","","119","126","journal article","English",""
"52065","ref","auth,class","F.","Garcia Joral","","","","1993","The Aalenian rhynchonellids from the Northern Calcaerious Alps in the Rothpletz collection","Mesozoic Brachiopods of Alpine Europe","J. Palfy, A. Voros","","","39","40","book chapter","English",""
"36376","ref","auth,class","F.","García Joral","J. J.","Gómez","A. Goy","2011","Mass extinction and recovery of the Early Toarcian (Early Jurassic) brachiopods linked to climate change in Northern and Central Spain","Palaeogeography, Palaeoclimatology, Palaeoecology","","302","","367","380","journal article","English","10.1016/j.palaeo.2011.01.023"
"34605","ref","auth,class","F.","García Joral","A.","Goy","","2009","Toarcian (Lower Jurassic) brachiopods in Asturias (northern Spain): stratigraphic distribution, critical events and palaeobiogeography","Geobios","","42","","255","264","journal article","English",""
"41022","ref","auth,class","F.","García Joral","A.","Goy","","2004","Caracterización de Choffatirhynchia nov. gen. (Brachiopoda, Rhynchonellida) en el Toarciense (Jurásico) de la Cordillera Ibérica (España)","Boletín de la Real Sociedad Española de Historia Natural. Sección geológica","","99","","237","250","journal article","Spanish",""
"19344","ref","auth,class","E.","Garzanti","L.","Angiolini","H. Brunton, D. Sciunnach, M. Balini","1998","The Bashkirian ""Fenestella Shales"" and the Moscovian ""Chaetetid Shales"" of the Tethys Himalaya (South Tibet, Nepal and India)","Journal of Asian Earth Sciences","","16","","119","141","journal article","English",""
"51835","ref","auth,class","D.","Gaspard","","","","2011","Brachiopods from the Barremian turbiditic formations of Serre de Bleyton, Drome (SE France)","Annalen des Naturhistorischen Museums in Wien, Serie A","","113","","655","673","journal article","English",""
"42212","ref","auth,class","K. L.","Gauri","","","","1965","Uralian stratigraphy, Trilobites and Brachiopods of the western Carnic Alps (Austria)","Jahrbuch der Geologischen Bundesanstalt","","11","","1","94","journal article","English",""
"24715","ref","auth,class","H. B.","Geinitz","","","","1861","Die animalischen ueberreste der Dyas","Dyas oder die Zechstein Formation und das Rothliegende","","","","1","130","book/book chapter","German",""
"38178","ref","auth","H. B.","Geinitz","","","","1842","Über einige Petrefakte des Zechsteins und Muschelkalks","Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefakten-Kunde","","1842","","576","579","journal article","German",""
"33927","ref","auth,class","G. G.","Gemmellaro","","","","1899","La Fauna dei Calcari Con Fusulina della Valle del Fiume Sosio nella Provincia di Palermo, Brachiopoda","Giornale di Scienze Naturali ed Economiche Palermo","","21","","95","202","journal article","Italian",""
"36002","ref","auth","G. G.","Gemmellaro","","","","1896","Sopra due Nuovi Generi di Brachiopdi Provenienti dai Calcare con Fusulina della Provincia di Palermo","Giornale di Scienze Naturali e Economiche","","21","","113","124","journal article","Italian",""
"42225","ref","auth,class","T. N.","George","","","","1931","Ambocoelia Hall and certain similar British Spiriferidae","Quarterly Journal of the Geological Society","","87","","30","62","journal article","English",""
"400","ref","auth,class","G.","Geyer","","","","1994","A new obolellid brachiopod from the Lower Cambrian of Morocco","Journal of Paleontology","","68","5","995","1002","journal article","English",""
