stage,hex_id,genus_richness,n_occurrences,n_collections,centroid_lng,centroid_lat
Katian,395,28,42,8,-31.5114285714286,21.2647619047619
Katian,402,34,38,4,-50.09,7.23
Katian,403,7,7,1,-41.63,12.41
Katian,480,73,265,65,-67.9629811320755,-27.4470943396226
Katian,481,19,31,6,-62.5987096774194,-23.4293548387097
Katian,722,6,6,3,9.67,-54.675
Katian,831,4,10,8,66.29107,-4.79264
Katian,840,2,2,2,66.03685,-6.62395
Katian,841,16,52,23,68.5643153846154,0.623094230769231
Katian,849,38,261,48,69.3369651340996,-2.63473754789272
Katian,850,35,159,56,69.8089855345912,2.68840188679245
Katian,858,3,3,1,70.5265,-6.3678
Katian,859,20,60,27,72.5737916666667,-0.77265
Rhuddanian,1282,3,11,7,-121.13,-6.52
Rhuddanian,1300,7,14,8,-128.16,-15.47
Rhuddanian,1347,2,2,1,-113.03,-21.76
Rhuddanian,1364,2,6,3,-117.93,-29.9666666666667
Rhuddanian,1365,16,28,8,-109.708214285714,-24.0964285714286
Rhuddanian,1375,6,6,3,-103.528333333333,-22.8066666666667
Rhuddanian,1393,7,10,8,-101.67,-26.08
Rhuddanian,1403,3,3,1,-99.7,-26.37
Rhuddanian,1404,26,55,23,-89.9334545454545,-21.1754545454545
Rhuddanian,1414,25,52,16,-88.1655769230769,-21.0601923076923
Rhuddanian,1470,64,1059,142,-66.1950802644004,-31.1026440037772
Rhuddanian,1479,32,495,67,-67.67,-32.25
Rhuddanian,338,28,130,7,-52.401,21.8348461538462
Rhuddanian,350,5,6,1,-33.02,31.09
Rhuddanian,392,11,17,5,-53.14,9.39
Rhuddanian,463,17,36,8,-63.72,-18.73
Rhuddanian,473,39,169,63,-53.5002366863905,-17.4798816568047
Rhuddanian,481,49,362,52,-61.2634806629834,-21.9245303867403
Rhuddanian,482,43,204,69,-54.4545098039216,-18.3258823529412
Rhuddanian,841,11,18,9,68.4959444444445,0.496988888888889
Rhuddanian,849,6,15,5,70.45446,-2.87086666666667
Rhuddanian,850,48,139,56,69.4681079136691,3.59735539568345
Rhuddanian,859,2,2,1,72.7329,0.9674
Rhuddanian,869,1,1,1,72.4163,5.2598
Sandbian,1291,5,6,1,-124.2,-13.58
Sandbian,1302,12,14,1,-114.92,-9.24
Sandbian,1310,33,132,13,-115.399772727273,-11.5740151515152
Sandbian,1320,1,1,1,-110.82,-10.26
Sandbian,1329,24,293,114,-114.40819112628,-17.6070307167236
Sandbian,1330,10,22,4,-105.65,-12.23
Sandbian,1337,41,1192,276,-116.77091442953,-19.2320637583893
Sandbian,1338,27,81,7,-106.947037037037,-14.8418518518519
Sandbian,1347,62,893,232,-112.348197088466,-19.9819260918253
Sandbian,1348,36,275,75,-105.475672727273,-16.2602545454545
Sandbian,1356,8,8,1,-114.69,-23.26
Sandbian,1357,15,21,2,-109.42,-19.92
Sandbian,1358,12,13,2,-101.72,-16.06
Sandbian,1366,13,22,2,-102.016363636364,-17.9409090909091
