stage,mean_value_Deep.ocean.temperature,mean_value_Global.temperature..GAT.,mean_value_Polar.temperature,mean_value_Relative.sea.level,mean_value_Tropical.temperature,median_value_Deep.ocean.temperature,median_value_Global.temperature..GAT.,median_value_Polar.temperature,median_value_Relative.sea.level,median_value_Tropical.temperature,min_value_Deep.ocean.temperature,min_value_Global.temperature..GAT.,min_value_Polar.temperature,min_value_Relative.sea.level,min_value_Tropical.temperature,max_value_Deep.ocean.temperature,max_value_Global.temperature..GAT.,max_value_Polar.temperature,max_value_Relative.sea.level,max_value_Tropical.temperature,sd_value_Deep.ocean.temperature,sd_value_Global.temperature..GAT.,sd_value_Polar.temperature,sd_value_Relative.sea.level,sd_value_Tropical.temperature,n_points_Deep.ocean.temperature,n_points_Global.temperature..GAT.,n_points_Polar.temperature,n_points_Relative.sea.level,n_points_Tropical.temperature,start_value_Deep.ocean.temperature,start_value_Global.temperature..GAT.,start_value_Polar.temperature,start_value_Relative.sea.level,start_value_Tropical.temperature,end_value_Deep.ocean.temperature,end_value_Global.temperature..GAT.,end_value_Polar.temperature,end_value_Relative.sea.level,end_value_Tropical.temperature,midpoint_value_Deep.ocean.temperature,midpoint_value_Global.temperature..GAT.,midpoint_value_Polar.temperature,midpoint_value_Relative.sea.level,midpoint_value_Tropical.temperature,delta_younger_minus_older_Deep.ocean.temperature,delta_younger_minus_older_Global.temperature..GAT.,delta_younger_minus_older_Polar.temperature,delta_younger_minus_older_Relative.sea.level,delta_younger_minus_older_Tropical.temperature,slope_per_myr_Deep.ocean.temperature,slope_per_myr_Global.temperature..GAT.,slope_per_myr_Polar.temperature,slope_per_myr_Relative.sea.level,slope_per_myr_Tropical.temperature
Aeronian,7.6405113935,16.5142424,-10.0933058735,124.266666666667,25.914242365,7.6405113935,16.5142424,-10.0933058735,113.9,25.914242365,6.830483438,15.8683386,-11.85969419,108.9,25.36833856,8.450539349,17.1601462,-8.326917557,150,26.46014617,1.14555252056945,0.913445913948319,2.49805031361168,22.4255063116384,0.772024564782078,2,2,2,3,2,5.87618752430998,15.107397755,-14.0885285691,124.778,25.082697715,8.94025345755003,17.550636678,-7.31887652885994,160.742000000001,26.7686366439,7.57570915706006,16.462570096,-10.2346169388199,109.3,25.8705700606,3.06406593324005,2.44323892300004,6.7696520402401,35.9640000000004,1.68593892890003,1.61266628065263,1.28591522263158,3.56297475802104,18.9284210526315,0.887336278368419
Hirnantian,-1.4142635905,9.294104465,-33.37069894,92.175,23.159104465,-1.4142635905,9.294104465,-33.37069894,79.4,23.159104465,-1.456337611,9.26055529,-33.49553627,66.8,22.70765364,-1.37218957,9.32765364,-33.24586161,143.1,23.61055529,0.0595016504146636,0.0474456982914285,0.176546645176448,34.5260650330539,0.638447879459523,2,2,2,4,2,-1.27616697301002,9.40422057819999,-32.9670085220001,139.32,23.5358205782,-0.114280225509991,10.3306911528,-29.5920180435,100.82,22.8085911807,-1.38397029574,9.318259871,-33.2808160624,69.6279999999997,22.834059871,1.16188674750003,0.926470574600021,3.37499047850008,-38.5000000000001,-0.727229397500008,0.542937732476652,0.432930175046742,1.5770983544393,-17.9906542056076,-0.339826821261688
Katian,3.98035773314286,13.5956923157143,-18.9006170728571,162.4,24.2142637528571,5.076433213,14.469686,-15.94167987,169.2,24.50658052,-0.598382192,9.94467571,-30.97873747,71.9,23.25467571,6.29368487,15.4403037,-13.08054378,210.4,24.65968599,2.70575482607971,2.15752717170976,6.98363537692632,41.9056082165621,0.525938140606306,7,7,7,15,7,6.07226997225,15.263750875,-13.5920817225,189.8,24.3037508575,-1.27616697301002,9.40422057819999,-32.9670085220001,139.32,23.5358205782,5.04693976826003,14.446168382,-16.0144516949999,195.056000000001,24.6569683728,-7.34843694526002,-5.85953029680001,-19.3749267995001,-50.4799999999997,-0.767930279299993,-0.974593759318302,-0.777126034058355,-2.56961893892573,-6.69496021220153,-0.10184751714854
Rhuddanian,2.393584571,12.3304238666667,-22.8761596066667,128.483333333333,23.77042385,2.317411833,12.2696849,-22.90314548,131,23.70968486,-0.019598877,10.4061886,-29.31699756,103.9,22.81618863,4.882940757,14.3153981,-16.40833578,142,24.78539806,2.45215730128514,1.95531241628451,6.45437320083274,13.8015095792695,0.986008804970775,3,3,3,6,3,-0.114280225509991,10.3306911528,-29.5920180435,100.82,22.8085911807,5.87618752430998,15.107397755,-14.0885285691,124.778,25.082697715,2.88182819628007,12.7197418040001,-21.4742873459998,139.76,23.946341764,5.99046774981997,4.77670660219998,15.5034894743999,23.9579999999999,2.2741065343,2.32188672473644,1.85143666751938,6.00910444744187,9.28604651162792,0.881436641201554
Sandbian,6.79278826483333,15.83828105,-11.9639573896667,206.336363636364,24.7382810416667,6.6773129315,15.7462028,-12.20715215,210.4,24.66120278,6.000021428,15.206141,-13.75901798,181.4,24.23614097,7.916494158,16.7343068,-9.466297228,221.5,25.47430684,0.731218457481308,0.583062321462835,1.63908186975513,12.9213213509511,0.472509748376138,6,6,6,11,6,7.916494158,16.7343068,-9.466297228,216.5,25.47430684,6.07226997225,15.263750875,-13.5920817225,189.8,24.3037508575,6.66366170184501,15.73531752,-12.2380627388,210.827,24.6527675,-1.84422418575,-1.470555925,-4.1257844945,-26.7,-1.1705559825,-0.339636129972375,-0.270820612338858,-0.759812982412522,-4.9171270718232,-0.215572004143646
Telychian,10.0558714366667,18.44021325,-5.05577477233333,161.633333333333,27.1352132483333,10.14983118,18.5151353,-4.86635088,164.1,27.21505339,9.588505676,18.067543,-5.981706221,135,26.54754296,10.40367293,18.7175448,-4.370885733,186.1,27.44110013,0.35926621450555,0.286473338965334,0.710174811968468,17.7268329393777,0.332685705599949,6,6,6,12,6,8.94025345755003,17.550636678,-7.31887652885994,160.742000000001,26.7686366439,9.588505676,18.067543,-5.981706221,172,26.54754296,10.3996834772,18.714363668,-4.37862882884,143.8,27.3663636576,0.64825221844997,0.516906321999976,1.33717030785994,11.2579999999994,-0.221093683900019,0.114532194072434,0.0913262053003496,0.236249170999991,1.98904593639566,-0.0390624883215584
